Exposure Weight,Ticker,Description,Exposure Value(Notional + GL),Market Value,Shares/Contracts
0.11%,HR,HEALTHCARE REALTY TRUST INC,--,"$36,853.41","1,851"
0.11%,NOV,NOV INC,--,"$36,844.50","1,914"
0.11%,UGI,UGI CORP,--,"$36,812.48","1,139"
0.11%,AM,ANTERO MIDSTREAM CORP,--,"$36,798.28","1,759"
0.11%,H,HYATT HOTELS CORP - CL A,--,"$36,704.40",219
0.11%,INGR,INGREDION INC,--,"$35,868.26",334
0.11%,KNSL,KINSALE CAPITAL GROUP INC,--,"$35,669.79",117
0.11%,AVT,AVNET INC,--,"$35,627.06",434
0.11%,THG,HANOVER INSURANCE GROUP INC/,--,"$35,558.32",188
0.11%,BROS,DUTCH BROS INC-CLASS A,--,"$35,526.54",674
0.11%,GATX,GATX CORP,--,"$35,421.70",190
0.11%,EXP,EAGLE MATERIALS INC,--,"$34,934.70",166
0.10%,ST,SENSATA TECHNOLOGIES HOLDING,--,"$34,775.82",774
0.10%,RGEN,REPLIGEN CORP,--,"$34,568.80",280
0.10%,MTDR,MATADOR RESOURCES CO,--,"$34,316.46",621
0.10%,VLY,VALLEY NATIONAL BANCORP,--,"$34,061.40","2,540"
0.10%,FNB,FNB CORP,--,"$33,956.30","1,897"
0.10%,JHG,JANUS HENDERSON GROUP PLC,--,"$33,805.26",654
0.10%,CLF,CLEVELAND-CLIFFS INC,--,"$33,379.58","3,029"
0.10%,GBCI,GLACIER BANCORP INC,--,"$33,274.78",682
0.10%,LSTR,LANDSTAR SYSTEM INC,--,"$33,193.59",181
0.10%,MSA,MSA SAFETY INC,--,"$33,138.30",195
0.10%,VFC,VF CORP,--,"$33,101.12","1,744"
0.10%,WH,WYNDHAM HOTELS & RESORTS INC,--,"$33,068.00",400
0.10%,AXTA,AXALTA COATING SYSTEMS LTD,--,"$32,975.16","1,132"
0.10%,STWD,STARWOOD PROPERTY TRUST INC,--,"$32,784.25","1,847"
0.10%,LNTH,LANTHEUS HOLDINGS INC,--,"$32,757.12",352
0.10%,VAL,VALARIS LTD,--,"$32,496.84",342
0.10%,ALGM,ALLEGRO MICROSYSTEMS INC,--,"$32,258.05",659
0.10%,CHE,CHEMED CORP,--,"$32,243.76",76
0.10%,UBSI,UNITED BANKSHARES INC,--,"$32,123.40",740
0.10%,ESNT,ESSENT GROUP LTD,--,"$31,943.78",506
0.09%,ACI,ALBERTSONS COS INC - CLASS A,--,"$31,463.28","1,964"
0.09%,VICR,VICOR CORP,--,"$31,289.34",122
0.09%,GXO,GXO LOGISTICS INC,--,"$31,275.66",606
0.09%,HIMS,HIMS & HERS HEALTH INC,--,"$31,266.62","1,106"
0.09%,MTG,MGIC INVESTMENT CORP,--,"$31,137.00","1,164"
0.09%,TMHC,TAYLOR MORRISON HOME CORP,--,"$31,080.00",518
0.09%,CHDN,CHURCHILL DOWNS INC,--,"$31,021.76",352
0.09%,SWX,SOUTHWEST GAS HOLDINGS INC,--,"$30,762.90",342
0.09%,ESAB,ESAB CORP,--,"$30,685.76",304
0.09%,TXNM,TXNM ENERGY INC,--,"$30,674.80",520
0.09%,NXST,NEXSTAR MEDIA GROUP INC,--,"$30,621.29",151
0.09%,KRG,KITE REALTY GROUP TRUST,--,"$30,571.24","1,148"
0.09%,RYN,RAYONIER INC,--,"$30,139.92","1,476"
0.09%,BKH,BLACK HILLS CORP,--,"$30,092.00",400
0.09%,AVTR,AVANTOR INC,--,"$30,073.89","3,619"
0.09%,HWC,HANCOCK WHITNEY CORP,--,"$29,979.36",436
0.09%,NJR,NEW JERSEY RESOURCES CORP,--,"$29,774.80",536
0.09%,FND,FLOOR & DECOR HOLDINGS INC-A,--,"$29,589.56",572
0.09%,CHWY,CHEWY INC - CLASS A,--,"$29,080.02","1,266"
0.09%,POR,PORTLAND GENERAL ELECTRIC CO,--,"$29,008.98",598
0.09%,AN,AUTONATION INC,--,"$28,629.83",139
0.09%,AVAV,AEROVIRONMENT INC,--,"$28,272.72",168
0.08%,BC,BRUNSWICK CORP,--,"$28,189.95",345
0.08%,GAP,GAP INC/THE,--,"$28,160.85","1,205"
0.08%,NEU,NEWMARKET CORP,--,"$28,081.31",41
0.08%,SBRA,SABRA HEALTH CARE REIT INC,--,"$27,784.25","1,339"
0.08%,CROX,CROCS INC,--,"$27,565.58",266
0.08%,M,MACY'S INC,--,"$27,505.76","1,412"
0.08%,CELH,CELSIUS HOLDINGS INC,--,"$27,381.92",848
0.08%,VNO,VORNADO REALTY TRUST,--,"$27,336.00",850
0.08%,G,GENPACT LTD,--,"$27,317.84",839
0.08%,GNTX,GENTEX CORP,--,"$27,225.96","1,164"
0.08%,KNF,KNIFE RIVER CORP,--,"$27,219.43",301
0.08%,SON,SONOCO PRODUCTS CO,--,"$27,069.00",525
0.08%,CNX,CNX RESOURCES CORP,--,"$27,004.32",756
0.08%,OGS,ONE GAS INC,--,"$27,001.38",318
0.08%,SIGI,SELECTIVE INSURANCE GROUP,--,"$26,960.04",318
0.08%,SR,SPIRE INC,--,"$26,909.80",314
0.08%,OLLI,OLLIE'S BARGAIN OUTLET HOLDI,--,"$26,800.46",326
0.08%,DBX,DROPBOX INC-CLASS A,--,"$26,761.40",926
0.08%,OZK,BANK OZK,--,"$26,675.00",550
0.08%,BYD,BOYD GAMING CORP,--,"$26,377.12",308
0.08%,MUR,MURPHY OIL CORP,--,"$26,366.74",713
0.08%,NOVT,NOVANTA INC,--,"$26,278.90",190
0.08%,FCN,FTI CONSULTING INC,--,"$26,224.00",160
0.08%,UFPI,UFP INDUSTRIES INC,--,"$26,073.42",309
0.08%,BRKR,BRUKER CORP,--,"$26,010.24",589
0.08%,WMG,WARNER MUSIC GROUP CORP-CL A,--,"$25,987.44",779
0.08%,HOMB,HOME BANCSHARES INC,--,"$25,957.20",970
0.08%,EXLS,EXLSERVICE HOLDINGS INC,--,"$25,951.80",835
0.08%,BSY,BENTLEY SYSTEMS INC-CLASS B,--,"$25,913.16",791
0.08%,WEX,WEX INC,--,"$25,778.48",182
0.08%,PCTY,PAYLOCITY HOLDING CORP,--,"$25,747.36",232
0.08%,SYNA,SYNAPTICS INC,--,"$25,713.15",205
0.08%,MAT,MATTEL INC,--,"$25,362.72","1,648"
0.08%,SARO,STANDARDAERO INC,--,"$25,341.12","1,008"
0.08%,MSM,MSC INDUSTRIAL DIRECT CO-A,--,"$25,340.04",243
0.08%,LPX,LOUISIANA-PACIFIC CORP,--,"$25,175.25",335
0.07%,HRB,H&R BLOCK INC,--,"$24,837.12",672
0.07%,ALK,ALASKA AIR GROUP INC,--,"$24,830.72",608
0.07%,ASB,ASSOCIATED BANC-CORP,--,"$24,809.95",869
0.07%,PATH,UIPATH INC - CLASS A,--,"$24,536.46","2,274"
0.07%,CVLT,COMMVAULT SYSTEMS INC,--,"$24,485.97",233
0.07%,BIO,BIO-RAD LABORATORIES-A,--,"$24,414.72",96
0.07%,LOPE,GRAND CANYON EDUCATION INC,--,"$24,249.14",146
0.07%,FBIN,FORTUNE BRANDS INNOVATIONS I,--,"$24,231.24",638
0.07%,VVV,VALVOLINE INC,--,"$24,043.50",675
0.07%,RLI,RLI CORP,--,"$23,985.45",489
0.07%,CUZ,COUSINS PROPERTIES INC,--,"$23,869.92",892
0.07%,MTN,VAIL RESORTS INC,--,"$23,829.80",190
0.07%,SLM,SLM CORP,--,"$23,773.26","1,058"
0.07%,CBT,CABOT CORP,--,"$23,733.36",277
0.07%,BCO,BRINK'S CO/THE,--,"$23,695.62",221
0.07%,EPR,EPR PROPERTIES,--,"$23,603.40",405
0.07%,NWE,NORTHWESTERN ENERGY GROUP IN,--,"$23,599.14",326
0.07%,TCBI,TEXAS CAPITAL BANCSHARES INC,--,"$23,490.60",235
0.07%,BDC,BELDEN INC,--,"$23,358.40",208
