Exposure Weight,Ticker,Description,Exposure Value(Notional + GL),Market Value,Shares/Contracts
0.10%,STOK,STOKE THERAPEUTICS INC,--,"$76,436.36","2,324"
0.10%,TSHA,TAYSHA GENE THERAPIES INC,--,"$75,917.88","11,148"
0.10%,TRVI,TREVI THERAPEUTICS INC,--,"$75,661.00","5,218"
0.10%,MBX,MBX BIOSCIENCES INC,--,"$74,802.09","1,826"
0.10%,ANIP,ANI PHARMACEUTICALS INC,--,"$74,738.18",913
0.10%,TYRA,TYRA BIOSCIENCES INC,--,"$74,543.04","2,172"
0.10%,RAPP,RAPPORT THERAPEUTICS INC,--,"$73,835.64","1,941"
0.09%,HRMY,HARMONY BIOSCIENCES HOLDINGS,--,"$72,981.45","2,355"
0.09%,ZYME,ZYMEWORKS INC,--,"$72,816.72","3,048"
0.09%,RXRX,RECURSION PHARMACEUTICALS-A,--,"$70,536.72","21,246"
0.09%,QURE,UNIQURE NV,--,"$70,145.76","2,536"
0.09%,GMAB,GENMAB A/S -SP ADR,--,"$69,273.03","2,621"
0.09%,VCEL,VERICEL CORP,--,"$69,161.82","2,067"
0.09%,NRIX,NURIX THERAPEUTICS INC,--,"$69,152.72","4,186"
0.09%,INVA,INNOVIVA INC,--,"$68,990.46","3,014"
0.09%,NTLA,INTELLIA THERAPEUTICS INC,--,"$67,744.72","4,808"
0.09%,ARDX,ARDELYX INC,--,"$67,671.18","9,981"
0.09%,NVAX,NOVAVAX INC,--,"$67,019.19","6,629"
0.09%,AGIO,AGIOS PHARMACEUTICALS INC,--,"$66,251.36","2,384"
0.09%,AMLX,AMYLYX PHARMACEUTICALS INC,--,"$65,872.56","4,472"
0.08%,ABCL,ABCELLERA BIOLOGICS INC,--,"$64,661.60","12,340"
0.08%,IOVA,IOVANCE BIOTHERAPEUTICS INC,--,"$60,700.16","16,768"
0.08%,PGEN,PRECIGEN INC,--,"$60,640.84","14,404"
0.08%,GLUE,MONTE ROSA THERAPEUTICS INC,--,"$60,205.95","3,105"
0.08%,ATAI,ATAIBECKLEY INC,--,"$59,575.49","14,783"
0.08%,FTRE,FORTREA HOLDINGS INC,--,"$58,711.15","3,805"
0.08%,VIR,VIR BIOTECHNOLOGY INC,--,"$58,331.52","6,396"
0.08%,BCAX,BICARA THERAPEUTICS INC,--,"$58,233.82","2,579"
0.07%,HROW,HARROW INC,--,"$57,765.53","1,511"
0.07%,URGN,UROGEN PHARMA LTD,--,"$55,977.60","1,904"
